NDVI,AQI,Soil_Moisture,Land_Temp,Date,Coordinates,Custom_Index,X,Y,Row_Index
0.1354767,98.845894,0.022906853,285.278,2024-06-01,"625455.0, 5804045.0",57.50036037691894,625455.0,5804045.0,10204
0.14121418,98.845894,0.03304103,285.278,2024-06-01,"625465.0, 5804045.0",58.12630026374991,625465.0,5804045.0,10205
0.13265923,98.845894,0.03304103,285.278,2024-06-01,"625475.0, 5804045.0",57.21969696161629,625475.0,5804045.0,10206
0.128497,98.845894,0.03403063,285.278,2024-06-01,"625485.0, 5804045.0",56.78035774144698,625485.0,5804045.0,10207
0.1224856,98.845894,0.03403063,285.278,2024-06-01,"625495.0, 5804045.0",56.14330491349986,625495.0,5804045.0,10208
0.13684872,98.845894,0.026750488,285.278,2024-06-01,"625505.0, 5804045.0",57.65255387837291,625505.0,5804045.0,10209
0.14064462,98.845894,0.026750488,285.278,2024-06-01,"625515.0, 5804045.0",58.054821042362065,625515.0,5804045.0,10210
0.12198497,98.845894,0.032803662,285.278,2024-06-01,"625525.0, 5804045.0",56.08808202018847,625525.0,5804045.0,10211
0.12259723,98.845894,0.032803662,285.278,2024-06-01,"625535.0, 5804045.0",56.1529657352031,625535.0,5804045.0,10212
0.13093781,98.845894,0.023744034,285.278,2024-06-01,"625545.0, 5804045.0",57.020835493825814,625545.0,5804045.0,10213
0.12796202,98.845894,0.023744034,285.278,2024-06-01,"625555.0, 5804045.0",56.70547876579628,625555.0,5804045.0,10214
0.12694474,98.845894,0.019318968,285.278,2024-06-01,"625565.0, 5804045.0",56.58985065337962,625565.0,5804045.0,10215
0.13617542,98.845894,0.019318968,285.278,2024-06-01,"625575.0, 5804045.0",57.56806384795571,625575.0,5804045.0,10216
0.16213505,98.845894,0.021622961,285.278,2024-06-01,"625585.0, 5804045.0",60.323185870777834,625585.0,5804045.0,10217
0.16040291,98.845894,0.021622961,285.278,2024-06-01,"625595.0, 5804045.0",60.13962385770263,625595.0,5804045.0,10218
0.15990575,98.845894,0.02023746,285.278,2024-06-01,"625605.0, 5804045.0",60.08448843538611,625605.0,5804045.0,10219
0.16795665,98.845894,0.02023746,285.278,2024-06-01,"625615.0, 5804045.0",60.93767548208394,625615.0,5804045.0,10220
0.16989306,98.845894,0.023323843,285.278,2024-06-01,"625625.0, 5804045.0",61.148341025509566,625625.0,5804045.0,10221
0.15821305,98.845894,0.023323843,285.278,2024-06-01,"625635.0, 5804045.0",59.91056223838004,625635.0,5804045.0,10222
0.15583889,98.845894,0.022439295,285.278,2024-06-01,"625645.0, 5804045.0",59.65739899103444,625645.0,5804045.0,10223
0.15503147,98.845894,0.022439295,285.278,2024-06-01,"625655.0, 5804045.0",59.57183336666391,625655.0,5804045.0,10224
