NDVI,AQI,Soil_Moisture,Land_Temp,Date,Coordinates,X,Y,Row_Index,Month,Year,CustomIndex,CustomIndex_Scaled,Custom_Index
0.14197786,112.666145,0.024631832,281.9,2024-07-01,"625455.0, 5804045.0",625455.0,5804045.0,0,7,2024,0.2057005907683236,56.795505569566224,60.05062478615185
0.15753624,112.666145,0.029384147,281.9,2024-07-01,"625465.0, 5804045.0",625465.0,5804045.0,1,7,2024,0.22213222756810508,57.91923473266784,61.239912498382274
0.13237906,112.666145,0.029384147,281.9,2024-07-01,"625475.0, 5804045.0",625475.0,5804045.0,2,7,2024,0.19567170279902354,56.109648523070945,59.32475472374988
0.13087226,112.666145,0.028974706,281.9,2024-07-01,"625485.0, 5804045.0",625485.0,5804045.0,3,7,2024,0.19408104809248466,56.0008665980599,59.20962644286472
0.13999449,112.666145,0.028974706,281.9,2024-07-01,"625495.0, 5804045.0",625495.0,5804045.0,4,7,2024,0.20367588316001844,56.65703957169093,59.90408065857907
0.15011838,112.666145,0.021074217,281.9,2024-07-01,"625505.0, 5804045.0",625505.0,5804045.0,5,7,2024,0.21421254352982727,57.37762223083348,60.66670223173396
0.13308574,112.666145,0.021074217,281.9,2024-07-01,"625515.0, 5804045.0",625515.0,5804045.0,6,7,2024,0.19629747544179638,56.15244395341812,59.370046846729956
0.1242061,112.666145,0.025419617,281.9,2024-07-01,"625525.0, 5804045.0",625525.0,5804045.0,7,7,2024,0.18701925116482226,55.51792340449923,58.69850826184168
0.12913102,112.666145,0.025419617,281.9,2024-07-01,"625535.0, 5804045.0",625535.0,5804045.0,8,7,2024,0.19219932173098853,55.87217882245021,59.07343100069568
0.12323671,112.666145,0.018350177,281.9,2024-07-01,"625545.0, 5804045.0",625545.0,5804045.0,9,7,2024,0.18589966288418544,55.441356838614865,58.617474789574565
0.11193134,112.666145,0.018350177,281.9,2024-07-01,"625555.0, 5804045.0",625555.0,5804045.0,10,7,2024,0.17400858356175614,54.62814797949829,57.75682318829826
0.12477277,112.666145,0.018128324,281.9,2024-07-01,"625565.0, 5804045.0",625565.0,5804045.0,11,7,2024,0.18751216573116486,55.55163291742639,58.734184393445226
0.13799703,112.666145,0.018128324,281.9,2024-07-01,"625575.0, 5804045.0",625575.0,5804045.0,12,7,2024,0.2014215490278131,56.50286984176066,59.740916640571506
0.15527073,112.666145,0.020286122,281.9,2024-07-01,"625585.0, 5804045.0",625585.0,5804045.0,13,7,2024,0.21962068155962985,57.74747475959974,61.058132019481924
0.15770157,112.666145,0.020286122,281.9,2024-07-01,"625595.0, 5804045.0",625595.0,5804045.0,14,7,2024,0.22217745867175745,57.922328003951314,61.24318623163477
0.1677104,112.666145,0.021144351,281.9,2024-07-01,"625605.0, 5804045.0",625605.0,5804045.0,15,7,2024,0.23271696384764332,58.64310521410488,62.006013705939495
0.17934132,112.666145,0.021144351,281.9,2024-07-01,"625615.0, 5804045.0",625615.0,5804045.0,16,7,2024,0.2449504592850177,59.479731276204234,62.891448673774825
0.1843369,112.666145,0.021883361,281.9,2024-07-01,"625625.0, 5804045.0",625625.0,5804045.0,17,7,2024,0.250215301692719,59.83978408316176,63.272507022288956
0.18581516,112.666145,0.021883361,281.9,2024-07-01,"625635.0, 5804045.0",625635.0,5804045.0,18,7,2024,0.25177014748009036,59.94611710260983,63.38504352804707
0.19689623,112.666145,0.021501552,281.9,2024-07-01,"625645.0, 5804045.0",625645.0,5804045.0,19,7,2024,0.26341990670882554,60.742822528122645,64.22822888261638
0.19079633,112.666145,0.021501552,281.9,2024-07-01,"625655.0, 5804045.0",625655.0,5804045.0,20,7,2024,0.2570039827046676,60.30404938582608,63.76385764110679
0.1801193,112.666145,0.014501609,281.9,2024-07-01,"625665.0, 5804045.0",625665.0,5804045.0,21,7,2024,0.24567480322525798,59.52926781475374,62.94387518234808
0.16390118,112.666145,0.014501609,281.9,2024-07-01,"625675.0, 5804045.0",625675.0,5804045.0,22,7,2024,0.22861645384079055,58.362678940420956,61.709227316095934
0.15200222,112.666145,0.01685674,281.9,2024-07-01,"625685.0, 5804045.0",625685.0,5804045.0,23,7,2024,0.2161343380467277,57.50905019327228,60.805797723694425
0.14498872,112.666145,0.01685674,281.9,2024-07-01,"625695.0, 5804045.0",625695.0,5804045.0,24,7,2024,0.20875748219611354,57.00456070434675,60.27187623279662
0.17386368,112.666145,0.020960871,281.9,2024-07-01,"625705.0, 5804045.0",625705.0,5804045.0,25,7,2024,0.23918643859096353,59.08554059212607,62.4742608386243
0.19575158,112.666145,0.020960871,281.9,2024-07-01,"625715.0, 5804045.0",625715.0,5804045.0,26,7,2024,0.26220830829548447,60.65996355992435,64.14053590822179
0.13372591,112.666145,0.02387172,281.9,2024-07-01,"625725.0, 5804045.0",625725.0,5804045.0,27,7,2024,0.19701037371354743,56.20119774392924,59.421644941612094
0.21076983,112.666145,0.02387172,281.9,2024-07-01,"625735.0, 5804045.0",625735.0,5804045.0,28,7,2024,0.27804578998306323,61.743059556949824,65.28681990860586
0.31684467,112.666145,0.046317574,281.9,2024-07-01,"625745.0, 5804045.0",625745.0,5804045.0,29,7,2024,0.38993359138822287,69.39485876395092,73.38502637343008
0.27768552,112.666145,0.046317574,281.9,2024-07-01,"625755.0, 5804045.0",625755.0,5804045.0,30,7,2024,0.3487456816737327,66.57809401450226,70.40393109285824
