NDVI,AQI,Soil_Moisture,Land_Temp,Date,Coordinates,Custom_Index,X,Y,Row_Index
0.18142495,112.33816,0.03594157,294.252,2024-07-01,"625525.0, 5806015.0",62.180677881663705,625525.0,5806015.0,11955
0.18767492,112.33816,0.03594157,294.252,2024-07-01,"625535.0, 5806015.0",62.81702505852854,625535.0,5806015.0,11956
0.36514226,112.33816,0.0352599,294.252,2024-07-01,"625545.0, 5806015.0",80.88106446926749,625545.0,5806015.0,11957
0.37655878,112.33816,0.0352599,294.252,2024-07-01,"625555.0, 5806015.0",82.043449292174,625555.0,5806015.0,11958
0.31569436,112.33816,0.050080925,294.252,2024-07-01,"625565.0, 5806015.0",75.95479172467218,625565.0,5806015.0,11959
0.37837097,112.33816,0.050080925,294.252,2024-07-01,"625575.0, 5806015.0",82.33627576842892,625575.0,5806015.0,11960
0.36643237,112.33816,0.07011036,294.252,2024-07-01,"625585.0, 5806015.0",81.26711591511621,625585.0,5806015.0,11961
0.22714078,112.33816,0.07011036,294.252,2024-07-01,"625595.0, 5806015.0",67.08499823174901,625595.0,5806015.0,11962
0.105679676,112.33816,0.084020615,294.252,2024-07-01,"625605.0, 5806015.0",54.81997026423296,625605.0,5806015.0,11963
0.089617625,112.33816,0.084020615,294.252,2024-07-01,"625615.0, 5806015.0",53.1845958850745,625615.0,5806015.0,11964
0.07735149,112.33816,0.21138184,294.252,2024-07-01,"625625.0, 5806015.0",52.866500456819594,625625.0,5806015.0,11965
0.10300677,112.33816,0.21138184,294.252,2024-07-01,"625635.0, 5806015.0",55.47861939493882,625635.0,5806015.0,11966
0.08504518,112.33816,0.3376379,294.252,2024-07-01,"625645.0, 5806015.0",54.572558434069755,625645.0,5806015.0,11967
0.073632166,112.33816,0.3376379,294.252,2024-07-01,"625655.0, 5806015.0",53.41053057818902,625655.0,5806015.0,11968
0.09497957,112.33816,0.16466665,294.252,2024-07-01,"625665.0, 5806015.0",54.319913157925754,625665.0,5806015.0,11969
0.117147915,112.33816,0.16466665,294.252,2024-07-01,"625675.0, 5806015.0",56.57700619301485,625675.0,5806015.0,11970
0.21885,112.33816,0.12076676,294.252,2024-07-01,"625685.0, 5806015.0",66.61107595149548,625685.0,5806015.0,11971
0.26584375,112.33816,0.12076676,294.252,2024-07-01,"625695.0, 5806015.0",71.39579334098566,625695.0,5806015.0,11972
