Date,Coordinates,Value,Nearest_NDVI
2024-09-01,"625455.0, 5804055.0",24261.0,0.026688065
2024-09-01,"625485.0, 5804055.0",24314.0,0.055459794
2024-09-01,"625515.0, 5804055.0",24354.0,0.14064462
2024-09-01,"625545.0, 5804055.0",24426.0,0.12323671
2024-09-01,"625575.0, 5804055.0",24468.0,0.12843205
2024-09-01,"625605.0, 5804055.0",24470.0,0.08521492
2024-09-01,"625635.0, 5804055.0",24511.0,0.15821305
2024-09-01,"625665.0, 5804055.0",24503.0,0.012339493
2024-09-01,"625695.0, 5804055.0",24495.0,0.04296626
2024-09-01,"625725.0, 5804055.0",24459.0,0.15753247
2024-09-01,"625755.0, 5804055.0",24317.0,0.019528467
2024-09-01,"625785.0, 5804055.0",24138.0,0.29425347
2024-09-01,"625815.0, 5804055.0",23979.0,0.2788768
2024-09-01,"625845.0, 5804055.0",23828.0,0.12253753
2024-09-01,"625875.0, 5804055.0",23685.0,0.038784076
2024-09-01,"625905.0, 5804055.0",23539.0,0.07362904
2024-09-01,"625935.0, 5804055.0",23364.0,0.0065439213
2024-09-01,"625965.0, 5804055.0",23202.0,0.40403944
2024-09-01,"625995.0, 5804055.0",23050.0,0.007160809
2024-09-01,"626025.0, 5804055.0",22926.0,0.061916128
2024-09-01,"625455.0, 5804025.0",24487.0,0.17907903
2024-09-01,"625485.0, 5804025.0",24534.0,0.02917497
2024-09-01,"625515.0, 5804025.0",24561.0,0.119620375
2024-09-01,"625545.0, 5804025.0",24626.0,0.056922127
2024-09-01,"625575.0, 5804025.0",24659.0,0.20649554
2024-09-01,"625605.0, 5804025.0",24651.0,0.22474565
2024-09-01,"625635.0, 5804025.0",24681.0,0.07850765
2024-09-01,"625665.0, 5804025.0",24648.0,0.28133607
2024-09-01,"625695.0, 5804025.0",24612.0,0.048765562
2024-09-01,"625725.0, 5804025.0",24564.0,0.09791529
2024-09-01,"625755.0, 5804025.0",24423.0,0.1575913
2024-09-01,"625785.0, 5804025.0",24250.0,0.28407395
2024-09-01,"625815.0, 5804025.0",24081.0,0.27230132
2024-09-01,"625845.0, 5804025.0",23919.0,0.085379526
2024-09-01,"625875.0, 5804025.0",23768.0,0.10676088
2024-09-01,"625905.0, 5804025.0",23612.0,0.010277942
2024-09-01,"625935.0, 5804025.0",23437.0,0.045669243
2024-09-01,"625965.0, 5804025.0",23270.0,0.19312623
2024-09-01,"625995.0, 5804025.0",23110.0,0.08396809
2024-09-01,"626025.0, 5804025.0",22992.0,0.03741025
2024-09-01,"625455.0, 5803995.0",24666.0,0.18626845
2024-09-01,"625485.0, 5803995.0",24699.0,0.19453627
2024-09-01,"625515.0, 5803995.0",24718.0,0.2547719
2024-09-01,"625545.0, 5803995.0",24753.0,0.12940826
2024-09-01,"625575.0, 5803995.0",24772.0,0.05234201
2024-09-01,"625605.0, 5803995.0",24750.0,0.39072886
2024-09-01,"625635.0, 5803995.0",24769.0,0.19583619
2024-09-01,"625665.0, 5803995.0",24734.0,0.23265098
2024-09-01,"625695.0, 5803995.0",24702.0,0.26496363
2024-09-01,"625725.0, 5803995.0",24652.0,0.16189677
2024-09-01,"625755.0, 5803995.0",24514.0,0.014422317
2024-09-01,"625785.0, 5803995.0",24342.0,0.20633605
2024-09-01,"625815.0, 5803995.0",24166.0,0.056353085
2024-09-01,"625845.0, 5803995.0",23993.0,0.06300048
2024-09-01,"625875.0, 5803995.0",23831.0,0.12158141
2024-09-01,"625905.0, 5803995.0",23673.0,0.07926914
2024-09-01,"625935.0, 5803995.0",23502.0,0.30955744
2024-09-01,"625965.0, 5803995.0",23341.0,0.15872516
2024-09-01,"625995.0, 5803995.0",23184.0,0.18579453
2024-09-01,"626025.0, 5803995.0",23085.0,0.06158641
2024-09-01,"625455.0, 5803965.0",24791.0,0.012994475
2024-09-01,"625485.0, 5803965.0",24800.0,0.08854948
2024-09-01,"625515.0, 5803965.0",24802.0,0.08113963
2024-09-01,"625545.0, 5803965.0",24838.0,0.015114691
2024-09-01,"625575.0, 5803965.0",24843.0,0.12532459
2024-09-01,"625605.0, 5803965.0",24804.0,0.044248447
2024-09-01,"625635.0, 5803965.0",24809.0,0.18578048
2024-09-01,"625665.0, 5803965.0",24775.0,0.1381871
2024-09-01,"625695.0, 5803965.0",24748.0,0.28472346
2024-09-01,"625725.0, 5803965.0",24677.0,0.21045238
2024-09-01,"625755.0, 5803965.0",24594.0,0.28393424
2024-09-01,"625785.0, 5803965.0",24429.0,0.12295185
2024-09-01,"625815.0, 5803965.0",24250.0,0.054355823
2024-09-01,"625845.0, 5803965.0",24070.0,0.26749757
2024-09-01,"625875.0, 5803965.0",23903.0,0.037594244
2024-09-01,"625905.0, 5803965.0",23739.0,0.13742103
2024-09-01,"625935.0, 5803965.0",23566.0,0.010250638
2024-09-01,"625965.0, 5803965.0",23414.0,0.23821211
2024-09-01,"625995.0, 5803965.0",23276.0,0.20426984
2024-09-01,"626025.0, 5803965.0",23186.0,0.1960945
2024-09-01,"625455.0, 5803935.0",24859.0,0.15650955
2024-09-01,"625485.0, 5803935.0",24870.0,0.046779323
2024-09-01,"625515.0, 5803935.0",24876.0,0.047373127
2024-09-01,"625545.0, 5803935.0",24914.0,0.05470041
2024-09-01,"625575.0, 5803935.0",24911.0,0.21890225
2024-09-01,"625605.0, 5803935.0",24858.0,0.051380582
2024-09-01,"625635.0, 5803935.0",24853.0,0.178414
2024-09-01,"625665.0, 5803935.0",24807.0,0.04640452
2024-09-01,"625695.0, 5803935.0",24786.0,0.1298291
2024-09-01,"625725.0, 5803935.0",24729.0,0.34448943
2024-09-01,"625755.0, 5803935.0",24660.0,0.45350224
2024-09-01,"625785.0, 5803935.0",24506.0,0.115315676
2024-09-01,"625815.0, 5803935.0",24334.0,0.12667096
2024-09-01,"625845.0, 5803935.0",24160.0,0.26315796
2024-09-01,"625875.0, 5803935.0",23991.0,0.12974028
2024-09-01,"625905.0, 5803935.0",23826.0,0.0142502645
2024-09-01,"625935.0, 5803935.0",23647.0,0.03842748
2024-09-01,"625965.0, 5803935.0",23487.0,0.11601475
2024-09-01,"625995.0, 5803935.0",23364.0,0.1030192
2024-09-01,"626025.0, 5803935.0",23280.0,0.3581658
2024-09-01,"625455.0, 5803905.0",24906.0,0.012312441
2024-09-01,"625485.0, 5803905.0",24922.0,0.095790364
2024-09-01,"625515.0, 5803905.0",24936.0,0.0543233
2024-09-01,"625545.0, 5803905.0",24957.0,0.21940722
2024-09-01,"625575.0, 5803905.0",24963.0,0.0841674
2024-09-01,"625605.0, 5803905.0",24955.0,0.02031737
2024-09-01,"625635.0, 5803905.0",24950.0,0.4050162
2024-09-01,"625665.0, 5803905.0",24941.0,0.3554473
2024-09-01,"625695.0, 5803905.0",24903.0,0.09178681
2024-09-01,"625725.0, 5803905.0",24844.0,0.48910224
2024-09-01,"625755.0, 5803905.0",24732.0,0.18193574
2024-09-01,"625785.0, 5803905.0",24598.0,0.4293947
2024-09-01,"625815.0, 5803905.0",24435.0,0.0074906824
2024-09-01,"625845.0, 5803905.0",24265.0,0.074528046
2024-09-01,"625875.0, 5803905.0",24106.0,0.12110921
2024-09-01,"625905.0, 5803905.0",23935.0,0.04717064
2024-09-01,"625935.0, 5803905.0",23777.0,0.07230472
2024-09-01,"625965.0, 5803905.0",23608.0,0.12488718
2024-09-01,"625995.0, 5803905.0",23485.0,0.036852784
2024-09-01,"626025.0, 5803905.0",23361.0,0.01391557
2024-09-01,"625455.0, 5803875.0",24936.0,0.1571524
2024-09-01,"625485.0, 5803875.0",24957.0,0.20113352
2024-09-01,"625515.0, 5803875.0",24976.0,0.009538035
2024-09-01,"625545.0, 5803875.0",25009.0,0.09049933
2024-09-01,"625575.0, 5803875.0",25036.0,0.10711176
2024-09-01,"625605.0, 5803875.0",25047.0,0.20984378
2024-09-01,"625635.0, 5803875.0",25050.0,0.15961471
2024-09-01,"625665.0, 5803875.0",25041.0,0.07822837
2024-09-01,"625695.0, 5803875.0",24987.0,0.31472036
2024-09-01,"625725.0, 5803875.0",24914.0,0.011026542
2024-09-01,"625755.0, 5803875.0",24808.0,0.059256487
2024-09-01,"625785.0, 5803875.0",24688.0,0.48467353
2024-09-01,"625815.0, 5803875.0",24526.0,0.005402239
2024-09-01,"625845.0, 5803875.0",24354.0,0.21242142
2024-09-01,"625875.0, 5803875.0",24191.0,0.2414172
2024-09-01,"625905.0, 5803875.0",24015.0,0.15449458
2024-09-01,"625935.0, 5803875.0",23852.0,0.12794521
2024-09-01,"625965.0, 5803875.0",23687.0,0.24183533
2024-09-01,"625995.0, 5803875.0",23553.0,0.12521778
2024-09-01,"626025.0, 5803875.0",23402.0,0.01740045
2024-09-01,"625455.0, 5803845.0",24955.0,0.3446585
2024-09-01,"625485.0, 5803845.0",24974.0,0.12866491
2024-09-01,"625515.0, 5803845.0",24998.0,0.097053856
2024-09-01,"625545.0, 5803845.0",25038.0,0.20851786
2024-09-01,"625575.0, 5803845.0",25079.0,0.011312398
2024-09-01,"625605.0, 5803845.0",25109.0,0.057145167
2024-09-01,"625635.0, 5803845.0",25130.0,0.054318473
2024-09-01,"625665.0, 5803845.0",25119.0,0.025026072
2024-09-01,"625695.0, 5803845.0",25060.0,0.52822095
2024-09-01,"625725.0, 5803845.0",24985.0,0.05027851
2024-09-01,"625755.0, 5803845.0",24884.0,0.045366485
2024-09-01,"625785.0, 5803845.0",24781.0,0.013169453
2024-09-01,"625815.0, 5803845.0",24628.0,0.08379367
2024-09-01,"625845.0, 5803845.0",24440.0,0.43413633
2024-09-01,"625875.0, 5803845.0",24256.0,0.2361282
2024-09-01,"625905.0, 5803845.0",24066.0,0.2898221
2024-09-01,"625935.0, 5803845.0",23898.0,0.03506711
2024-09-01,"625965.0, 5803845.0",23730.0,0.06730398
2024-09-01,"625995.0, 5803845.0",23582.0,0.08497022
