Date,Coordinates,Value,Nearest_NDVI
2024-09-01,"626205.0, 5802945.0",24132.0,0.18712386
2024-09-01,"626235.0, 5802945.0",24003.0,0.1199599
2024-09-01,"626265.0, 5802945.0",23895.0,0.27286687
2024-09-01,"626295.0, 5802945.0",23789.0,0.1108927
2024-09-01,"626325.0, 5802945.0",23678.0,0.013391894
2024-09-01,"626355.0, 5802945.0",23535.0,0.106620766
2024-09-01,"626385.0, 5802945.0",23364.0,0.089997634
2024-09-01,"626415.0, 5802945.0",23204.0,0.15283532
2024-09-01,"626445.0, 5802945.0",23047.0,0.065784715
2024-09-01,"626475.0, 5802945.0",22888.0,0.06159567
2024-09-01,"626505.0, 5802945.0",22739.0,-0.038929366
2024-09-01,"626535.0, 5802945.0",22601.0,0.058200136
2024-09-01,"626565.0, 5802945.0",22472.0,0.118256025
2024-09-01,"626595.0, 5802945.0",22326.0,0.20334847
2024-09-01,"626625.0, 5802945.0",22195.0,0.10518813
2024-09-01,"626655.0, 5802945.0",22094.0,0.09673409
2024-09-01,"626685.0, 5802945.0",22043.0,0.010921207
2024-09-01,"626715.0, 5802945.0",22012.0,0.007408922
2024-09-01,"626745.0, 5802945.0",21971.0,0.017228667
2024-09-01,"626775.0, 5802945.0",21821.0,0.23652008
2024-09-01,"626805.0, 5802945.0",21535.0,0.08033937
2024-09-01,"626835.0, 5802945.0",21231.0,0.10255641
2024-09-01,"626865.0, 5802945.0",21006.0,0.0126412725
2024-09-01,"626895.0, 5802945.0",20809.0,0.04219491
2024-09-01,"626925.0, 5802945.0",20621.0,0.057026304
2024-09-01,"626955.0, 5802945.0",20440.0,0.11567392
2024-09-01,"626985.0, 5802945.0",20310.0,0.08286997
2024-09-01,"627015.0, 5802945.0",20275.0,0.09358977
2024-09-01,"627045.0, 5802945.0",20240.0,0.14558306
2024-09-01,"627075.0, 5802945.0",20106.0,0.01993948
2024-09-01,"627105.0, 5802945.0",19878.0,0.21023344
2024-09-01,"627135.0, 5802945.0",19601.0,0.07041059
2024-09-01,"627165.0, 5802945.0",19317.0,0.14103113
2024-09-01,"627195.0, 5802945.0",19074.0,0.111269414
2024-09-01,"627225.0, 5802945.0",18885.0,0.097682945
2024-09-01,"627255.0, 5802945.0",18774.0,0.32370982
2024-09-01,"627285.0, 5802945.0",18750.0,0.3464814
2024-09-01,"627315.0, 5802945.0",18899.0,0.14770365
2024-09-01,"627345.0, 5802945.0",19091.0,0.19711336
2024-09-01,"627375.0, 5802945.0",19221.0,0.17210364
2024-09-01,"627405.0, 5802945.0",19246.0,0.06629683
2024-09-01,"627435.0, 5802945.0",19250.0,0.022053657
2024-09-01,"627465.0, 5802945.0",19171.0,0.06538653
2024-09-01,"627495.0, 5802945.0",18922.0,0.07548274
2024-09-01,"627525.0, 5802945.0",18621.0,0.025563309
2024-09-01,"627555.0, 5802945.0",18311.0,0.06697888
2024-09-01,"627585.0, 5802945.0",17968.0,0.095124185
2024-09-01,"627615.0, 5802945.0",17576.0,0.09681457
2024-09-01,"627645.0, 5802945.0",17058.0,0.27742535
2024-09-01,"627675.0, 5802945.0",16545.0,0.0017357235
2024-09-01,"627705.0, 5802945.0",16235.0,0.062344667
2024-09-01,"627735.0, 5802945.0",16125.0,0.050469607
2024-09-01,"627765.0, 5802945.0",16092.0,0.13010183
2024-09-01,"627795.0, 5802945.0",16121.0,0.013577256
2024-09-01,"627825.0, 5802945.0",16215.0,0.24673553
2024-09-01,"627855.0, 5802945.0",16387.0,0.013219153
2024-09-01,"627885.0, 5802945.0",16542.0,0.13300356
2024-09-01,"627915.0, 5802945.0",16561.0,0.07990257
2024-09-01,"627945.0, 5802945.0",16457.0,0.0099884495
2024-09-01,"627975.0, 5802945.0",16299.0,0.14102972
2024-09-01,"628005.0, 5802945.0",16081.0,0.07029526
2024-09-01,"628035.0, 5802945.0",15757.0,0.17196198
2024-09-01,"628065.0, 5802945.0",15249.0,0.011603888
2024-09-01,"628095.0, 5802945.0",14797.0,0.075969905
2024-09-01,"628125.0, 5802945.0",14607.0,0.15482514
2024-09-01,"628155.0, 5802945.0",14534.0,0.05051519
2024-09-01,"628185.0, 5802945.0",14459.0,0.0760954
2024-09-01,"626205.0, 5802915.0",24199.0,0.023013948
