Date,Coordinates,Value,Nearest_NDVI
2024-09-01,"625515.0, 5806005.0",21431.0,0.11047395
2024-09-01,"625545.0, 5806005.0",21432.0,0.17223592
2024-09-01,"625575.0, 5806005.0",21415.0,0.29466558
2024-09-01,"625605.0, 5806005.0",21387.0,0.07811269
2024-09-01,"625635.0, 5806005.0",21410.0,0.0875514
2024-09-01,"625665.0, 5806005.0",21539.0,0.107614025
2024-09-01,"625695.0, 5806005.0",21755.0,0.24544713
2024-09-01,"625725.0, 5806005.0",22043.0,0.17578693
2024-09-01,"625755.0, 5806005.0",22345.0,0.080573894
2024-09-01,"625785.0, 5806005.0",22661.0,0.07961916
2024-09-01,"625815.0, 5806005.0",22966.0,0.099572405
2024-09-01,"625845.0, 5806005.0",23285.0,0.06331217
2024-09-01,"625875.0, 5806005.0",23595.0,0.083538435
2024-09-01,"625905.0, 5806005.0",23892.0,0.009655831
2024-09-01,"625935.0, 5806005.0",24068.0,0.1234984
2024-09-01,"625965.0, 5806005.0",24120.0,0.075067274
2024-09-01,"625995.0, 5806005.0",24128.0,0.11564986
2024-09-01,"626025.0, 5806005.0",24114.0,0.11078646
2024-09-01,"626055.0, 5806005.0",24060.0,0.07039898
2024-09-01,"626085.0, 5806005.0",23981.0,0.06558665
2024-09-01,"626115.0, 5806005.0",23887.0,0.095046714
2024-09-01,"626145.0, 5806005.0",23767.0,0.08000969
2024-09-01,"626175.0, 5806005.0",23661.0,0.032962576
2024-09-01,"626205.0, 5806005.0",23488.0,0.099210225
2024-09-01,"626235.0, 5806005.0",23195.0,0.4301435
2024-09-01,"626265.0, 5806005.0",22807.0,0.196649
2024-09-01,"626295.0, 5806005.0",22452.0,0.34713683
2024-09-01,"626325.0, 5806005.0",22275.0,0.04554557
2024-09-01,"626355.0, 5806005.0",22167.0,0.09000295
2024-09-01,"626385.0, 5806005.0",22108.0,0.029552173
2024-09-01,"626415.0, 5806005.0",22067.0,0.15290608
2024-09-01,"626445.0, 5806005.0",22019.0,0.21749534
2024-09-01,"626475.0, 5806005.0",21968.0,0.036989786
2024-09-01,"626505.0, 5806005.0",21889.0,0.4006091
2024-09-01,"626535.0, 5806005.0",21806.0,0.119206205
2024-09-01,"626565.0, 5806005.0",21706.0,0.023925316
2024-09-01,"626595.0, 5806005.0",21580.0,0.32030326
2024-09-01,"626625.0, 5806005.0",21475.0,0.50860167
2024-09-01,"626655.0, 5806005.0",21409.0,0.14910232
2024-09-01,"626685.0, 5806005.0",21425.0,0.009945578
2024-09-01,"626715.0, 5806005.0",21449.0,0.5040028
2024-09-01,"626745.0, 5806005.0",21455.0,0.30030286
2024-09-01,"626775.0, 5806005.0",21462.0,0.28213266
2024-09-01,"626805.0, 5806005.0",21488.0,0.42385197
2024-09-01,"626835.0, 5806005.0",21535.0,0.5023349
2024-09-01,"626865.0, 5806005.0",21609.0,0.4743926
2024-09-01,"626895.0, 5806005.0",21709.0,0.21452355
2024-09-01,"626925.0, 5806005.0",21817.0,0.3770216
2024-09-01,"626955.0, 5806005.0",21894.0,0.17321469
2024-09-01,"626985.0, 5806005.0",21875.0,0.46196723
2024-09-01,"627015.0, 5806005.0",21744.0,0.32350886
2024-09-01,"627045.0, 5806005.0",21504.0,0.48352343
2024-09-01,"627075.0, 5806005.0",21225.0,0.48248616
2024-09-01,"627105.0, 5806005.0",20931.0,0.28328863
2024-09-01,"627135.0, 5806005.0",20628.0,0.30022103
2024-09-01,"627165.0, 5806005.0",20329.0,0.118854396
2024-09-01,"627195.0, 5806005.0",20024.0,0.15083092
2024-09-01,"627225.0, 5806005.0",19676.0,0.24787721
2024-09-01,"627255.0, 5806005.0",19285.0,0.04362119
2024-09-01,"627285.0, 5806005.0",18793.0,0.31007183
2024-09-01,"627315.0, 5806005.0",18059.0,0.06433853
2024-09-01,"627345.0, 5806005.0",17224.0,0.17035197
2024-09-01,"627375.0, 5806005.0",16517.0,0.073300816
2024-09-01,"627405.0, 5806005.0",15920.0,0.10011142
2024-09-01,"627435.0, 5806005.0",15413.0,0.09746353
2024-09-01,"627465.0, 5806005.0",15131.0,0.063415535
2024-09-01,"627495.0, 5806005.0",15131.0,0.12832332
2024-09-01,"627525.0, 5806005.0",15190.0,0.07078132
2024-09-01,"627555.0, 5806005.0",15383.0,0.022283357
2024-09-01,"627585.0, 5806005.0",15680.0,0.2618718
2024-09-01,"627615.0, 5806005.0",16060.0,0.018777855
