Date,Coordinates,Value
2024-05-01,"628805.0, 5800115.0",0.059630647
2024-05-01,"628815.0, 5800115.0",0.059630647
2024-05-01,"628825.0, 5800115.0",0.103628896
2024-05-01,"628835.0, 5800115.0",0.103628896
2024-05-01,"628845.0, 5800115.0",0.12734488
2024-05-01,"628855.0, 5800115.0",0.12734488
2024-05-01,"628865.0, 5800115.0",0.112925716
2024-05-01,"628875.0, 5800115.0",0.112925716
2024-05-01,"628885.0, 5800115.0",0.073631726
2024-05-01,"628895.0, 5800115.0",0.073631726
2024-05-01,"628905.0, 5800115.0",0.061885577
2024-05-01,"628915.0, 5800115.0",0.061885577
2024-05-01,"628925.0, 5800115.0",0.048928346
2024-05-01,"628935.0, 5800115.0",0.048928346
2024-05-01,"628945.0, 5800115.0",0.059097186
2024-05-01,"628955.0, 5800115.0",0.059097186
2024-05-01,"628965.0, 5800115.0",0.038598433
2024-05-01,"628975.0, 5800115.0",0.038598433
2024-05-01,"628985.0, 5800115.0",0.033526786
2024-05-01,"628995.0, 5800115.0",0.033526786
2024-05-01,"629005.0, 5800115.0",0.043763313
2024-05-01,"629015.0, 5800115.0",0.043763313
2024-05-01,"629025.0, 5800115.0",0.03710809
2024-05-01,"629035.0, 5800115.0",0.03710809
2024-05-01,"629045.0, 5800115.0",0.03904755
2024-05-01,"629055.0, 5800115.0",0.03904755
2024-05-01,"629065.0, 5800115.0",0.044740144
2024-05-01,"629075.0, 5800115.0",0.044740144
2024-05-01,"629085.0, 5800115.0",0.035008706
2024-05-01,"629095.0, 5800115.0",0.035008706
2024-05-01,"629105.0, 5800115.0",0.036241576
2024-05-01,"629115.0, 5800115.0",0.036241576
2024-05-01,"629125.0, 5800115.0",0.035692193
2024-05-01,"629135.0, 5800115.0",0.035692193
2024-05-01,"629145.0, 5800115.0",0.03268478
2024-05-01,"629155.0, 5800115.0",0.03268478
2024-05-01,"629165.0, 5800115.0",0.046435878
2024-05-01,"629175.0, 5800115.0",0.046435878
2024-05-01,"629185.0, 5800115.0",0.045440976
2024-05-01,"629195.0, 5800115.0",0.045440976
2024-05-01,"629205.0, 5800115.0",0.034375522
2024-05-01,"629215.0, 5800115.0",0.034375522
2024-05-01,"629225.0, 5800115.0",0.03528374
2024-05-01,"629235.0, 5800115.0",0.03528374
2024-05-01,"629245.0, 5800115.0",0.039599553
2024-05-01,"629255.0, 5800115.0",0.039599553
2024-05-01,"629265.0, 5800115.0",0.027361058
2024-05-01,"629275.0, 5800115.0",0.027361058
2024-05-01,"629285.0, 5800115.0",0.029927416
2024-05-01,"629295.0, 5800115.0",0.029927416
2024-05-01,"629305.0, 5800115.0",0.03532941
2024-05-01,"629315.0, 5800115.0",0.03532941
2024-05-01,"629325.0, 5800115.0",0.0372593
2024-05-01,"629335.0, 5800115.0",0.0372593
2024-05-01,"629345.0, 5800115.0",0.03900435
2024-05-01,"629355.0, 5800115.0",0.03900435
2024-05-01,"629365.0, 5800115.0",0.04403047
2024-05-01,"629375.0, 5800115.0",0.04403047
2024-05-01,"629385.0, 5800115.0",0.048187423
2024-05-01,"628805.0, 5800105.0",0.059630647
2024-05-01,"628815.0, 5800105.0",0.059630647
2024-05-01,"628825.0, 5800105.0",0.103628896
2024-05-01,"628835.0, 5800105.0",0.103628896
2024-05-01,"628845.0, 5800105.0",0.12734488
2024-05-01,"628855.0, 5800105.0",0.12734488
2024-05-01,"628865.0, 5800105.0",0.112925716
2024-05-01,"628875.0, 5800105.0",0.112925716
2024-05-01,"628885.0, 5800105.0",0.073631726
2024-05-01,"628895.0, 5800105.0",0.073631726
2024-05-01,"628905.0, 5800105.0",0.061885577
2024-05-01,"628915.0, 5800105.0",0.061885577
2024-05-01,"628925.0, 5800105.0",0.048928346
2024-05-01,"628935.0, 5800105.0",0.048928346
2024-05-01,"628945.0, 5800105.0",0.059097186
2024-05-01,"628955.0, 5800105.0",0.059097186
2024-05-01,"628965.0, 5800105.0",0.038598433
2024-05-01,"628975.0, 5800105.0",0.038598433
2024-05-01,"628985.0, 5800105.0",0.033526786
2024-05-01,"628995.0, 5800105.0",0.033526786
2024-05-01,"629005.0, 5800105.0",0.043763313
2024-05-01,"629015.0, 5800105.0",0.043763313
2024-05-01,"629025.0, 5800105.0",0.03710809
2024-05-01,"629035.0, 5800105.0",0.03710809
2024-05-01,"629045.0, 5800105.0",0.03904755
2024-05-01,"629055.0, 5800105.0",0.03904755
2024-05-01,"629065.0, 5800105.0",0.044740144
2024-05-01,"629075.0, 5800105.0",0.044740144
2024-05-01,"629085.0, 5800105.0",0.035008706
2024-05-01,"629095.0, 5800105.0",0.035008706
2024-05-01,"629105.0, 5800105.0",0.036241576
2024-05-01,"629115.0, 5800105.0",0.036241576
2024-05-01,"629125.0, 5800105.0",0.035692193
2024-05-01,"629135.0, 5800105.0",0.035692193
2024-05-01,"629145.0, 5800105.0",0.03268478
2024-05-01,"629155.0, 5800105.0",0.03268478
2024-05-01,"629165.0, 5800105.0",0.046435878
2024-05-01,"629175.0, 5800105.0",0.046435878
2024-05-01,"629185.0, 5800105.0",0.045440976
2024-05-01,"629195.0, 5800105.0",0.045440976
2024-05-01,"629205.0, 5800105.0",0.034375522
2024-05-01,"629215.0, 5800105.0",0.034375522
2024-05-01,"629225.0, 5800105.0",0.03528374
2024-05-01,"629235.0, 5800105.0",0.03528374
2024-05-01,"629245.0, 5800105.0",0.039599553
2024-05-01,"629255.0, 5800105.0",0.039599553
2024-05-01,"629265.0, 5800105.0",0.027361058
2024-05-01,"629275.0, 5800105.0",0.027361058
2024-05-01,"629285.0, 5800105.0",0.029927416
2024-05-01,"629295.0, 5800105.0",0.029927416
2024-05-01,"629305.0, 5800105.0",0.03532941
2024-05-01,"629315.0, 5800105.0",0.03532941
2024-05-01,"629325.0, 5800105.0",0.0372593
2024-05-01,"629335.0, 5800105.0",0.0372593
2024-05-01,"629345.0, 5800105.0",0.03900435
2024-05-01,"629355.0, 5800105.0",0.03900435
2024-05-01,"629365.0, 5800105.0",0.04403047
2024-05-01,"629375.0, 5800105.0",0.04403047
2024-05-01,"629385.0, 5800105.0",0.048187423
2024-05-01,"628805.0, 5800095.0",0.038011186
2024-05-01,"628815.0, 5800095.0",0.038011186
2024-05-01,"628825.0, 5800095.0",0.0666944
2024-05-01,"628835.0, 5800095.0",0.0666944
2024-05-01,"628845.0, 5800095.0",0.099113904
2024-05-01,"628855.0, 5800095.0",0.099113904
2024-05-01,"628865.0, 5800095.0",0.07621805
2024-05-01,"628875.0, 5800095.0",0.07621805
2024-05-01,"628885.0, 5800095.0",0.0628394
2024-05-01,"628895.0, 5800095.0",0.0628394
2024-05-01,"628905.0, 5800095.0",0.05175872
2024-05-01,"628915.0, 5800095.0",0.05175872
2024-05-01,"628925.0, 5800095.0",0.04392643
2024-05-01,"628935.0, 5800095.0",0.04392643
2024-05-01,"628945.0, 5800095.0",0.059833053
2024-05-01,"628955.0, 5800095.0",0.059833053
2024-05-01,"628965.0, 5800095.0",0.06304269
2024-05-01,"628975.0, 5800095.0",0.06304269
2024-05-01,"628985.0, 5800095.0",0.042102102
2024-05-01,"628995.0, 5800095.0",0.042102102
2024-05-01,"629005.0, 5800095.0",0.035004072
2024-05-01,"629015.0, 5800095.0",0.035004072
2024-05-01,"629025.0, 5800095.0",0.03035826
2024-05-01,"629035.0, 5800095.0",0.03035826
2024-05-01,"629045.0, 5800095.0",0.035616685
2024-05-01,"629055.0, 5800095.0",0.035616685
2024-05-01,"629065.0, 5800095.0",0.040022567
2024-05-01,"629075.0, 5800095.0",0.040022567
2024-05-01,"629085.0, 5800095.0",0.03294438
2024-05-01,"629095.0, 5800095.0",0.03294438
2024-05-01,"629105.0, 5800095.0",0.03727182
2024-05-01,"629115.0, 5800095.0",0.03727182
2024-05-01,"629125.0, 5800095.0",0.037881237
2024-05-01,"629135.0, 5800095.0",0.037881237
2024-05-01,"629145.0, 5800095.0",0.038198233
2024-05-01,"629155.0, 5800095.0",0.038198233
2024-05-01,"629165.0, 5800095.0",0.056835517
2024-05-01,"629175.0, 5800095.0",0.056835517
2024-05-01,"629185.0, 5800095.0",0.050653536
2024-05-01,"629195.0, 5800095.0",0.050653536
2024-05-01,"629205.0, 5800095.0",0.03987868
2024-05-01,"629215.0, 5800095.0",0.03987868
2024-05-01,"629225.0, 5800095.0",0.034848087
2024-05-01,"629235.0, 5800095.0",0.034848087
2024-05-01,"629245.0, 5800095.0",0.04209016
2024-05-01,"629255.0, 5800095.0",0.04209016
2024-05-01,"629265.0, 5800095.0",0.035306018
2024-05-01,"629275.0, 5800095.0",0.035306018
2024-05-01,"629285.0, 5800095.0",0.035315722
2024-05-01,"629295.0, 5800095.0",0.035315722
2024-05-01,"629305.0, 5800095.0",0.037079696
2024-05-01,"629315.0, 5800095.0",0.037079696
2024-05-01,"629325.0, 5800095.0",0.03303504
2024-05-01,"629335.0, 5800095.0",0.03303504
2024-05-01,"629345.0, 5800095.0",0.036154147
2024-05-01,"629355.0, 5800095.0",0.036154147
2024-05-01,"629365.0, 5800095.0",0.047605485
2024-05-01,"629375.0, 5800095.0",0.047605485
2024-05-01,"629385.0, 5800095.0",0.04535375
2024-05-01,"628805.0, 5800085.0",0.038011186
2024-05-01,"628815.0, 5800085.0",0.038011186
2024-05-01,"628825.0, 5800085.0",0.0666944
2024-05-01,"628835.0, 5800085.0",0.0666944
2024-05-01,"628845.0, 5800085.0",0.099113904
2024-05-01,"628855.0, 5800085.0",0.099113904
2024-05-01,"628865.0, 5800085.0",0.07621805
2024-05-01,"628875.0, 5800085.0",0.07621805
2024-05-01,"628885.0, 5800085.0",0.0628394
2024-05-01,"628895.0, 5800085.0",0.0628394
2024-05-01,"628905.0, 5800085.0",0.05175872
2024-05-01,"628915.0, 5800085.0",0.05175872
2024-05-01,"628925.0, 5800085.0",0.04392643
2024-05-01,"628935.0, 5800085.0",0.04392643
2024-05-01,"628945.0, 5800085.0",0.059833053
2024-05-01,"628955.0, 5800085.0",0.059833053
2024-05-01,"628965.0, 5800085.0",0.06304269
2024-05-01,"628975.0, 5800085.0",0.06304269
2024-05-01,"628985.0, 5800085.0",0.042102102
2024-05-01,"628995.0, 5800085.0",0.042102102
2024-05-01,"629005.0, 5800085.0",0.035004072
2024-05-01,"629015.0, 5800085.0",0.035004072
2024-05-01,"629025.0, 5800085.0",0.03035826
2024-05-01,"629035.0, 5800085.0",0.03035826
2024-05-01,"629045.0, 5800085.0",0.035616685
2024-05-01,"629055.0, 5800085.0",0.035616685
2024-05-01,"629065.0, 5800085.0",0.040022567
2024-05-01,"629075.0, 5800085.0",0.040022567
2024-05-01,"629085.0, 5800085.0",0.03294438
2024-05-01,"629095.0, 5800085.0",0.03294438
2024-05-01,"629105.0, 5800085.0",0.03727182
2024-05-01,"629115.0, 5800085.0",0.03727182
2024-05-01,"629125.0, 5800085.0",0.037881237
2024-05-01,"629135.0, 5800085.0",0.037881237
2024-05-01,"629145.0, 5800085.0",0.038198233
2024-05-01,"629155.0, 5800085.0",0.038198233
2024-05-01,"629165.0, 5800085.0",0.056835517
2024-05-01,"629175.0, 5800085.0",0.056835517
2024-05-01,"629185.0, 5800085.0",0.050653536
2024-05-01,"629195.0, 5800085.0",0.050653536
2024-05-01,"629205.0, 5800085.0",0.03987868
2024-05-01,"629215.0, 5800085.0",0.03987868
2024-05-01,"629225.0, 5800085.0",0.034848087
2024-05-01,"629235.0, 5800085.0",0.034848087
2024-05-01,"629245.0, 5800085.0",0.04209016
2024-05-01,"629255.0, 5800085.0",0.04209016
2024-05-01,"629265.0, 5800085.0",0.035306018
2024-05-01,"629275.0, 5800085.0",0.035306018
2024-05-01,"629285.0, 5800085.0",0.035315722
2024-05-01,"629295.0, 5800085.0",0.035315722
2024-05-01,"629305.0, 5800085.0",0.037079696
2024-05-01,"629315.0, 5800085.0",0.037079696
2024-05-01,"629325.0, 5800085.0",0.03303504
2024-05-01,"629335.0, 5800085.0",0.03303504
2024-05-01,"629345.0, 5800085.0",0.036154147
2024-05-01,"629355.0, 5800085.0",0.036154147
2024-05-01,"629365.0, 5800085.0",0.047605485
2024-05-01,"629375.0, 5800085.0",0.047605485
2024-05-01,"629385.0, 5800085.0",0.04535375
2024-05-01,"628805.0, 5800075.0",0.041852918
2024-05-01,"628815.0, 5800075.0",0.041852918
2024-05-01,"628825.0, 5800075.0",0.047105823
2024-05-01,"628835.0, 5800075.0",0.047105823
2024-05-01,"628845.0, 5800075.0",0.065739155
2024-05-01,"628855.0, 5800075.0",0.065739155
2024-05-01,"628865.0, 5800075.0",0.03999497
