Date,Coordinates,Value,Nearest_NDVI
2024-08-01,"625450.0, 5804050.0",0.020995555,0.026688065
2024-08-01,"625470.0, 5804050.0",0.032192852,0.10465153
2024-08-01,"625490.0, 5804050.0",0.031976886,0.055459794
2024-08-01,"625510.0, 5804050.0",0.025671294,0.137875
2024-08-01,"625530.0, 5804050.0",0.02549008,0.122012354
2024-08-01,"625550.0, 5804050.0",0.018266479,0.12323671
2024-08-01,"625570.0, 5804050.0",0.017868191,0.12477277
2024-08-01,"625590.0, 5804050.0",0.020126773,0.05991855
2024-08-01,"625610.0, 5804050.0",0.02051324,0.08521492
2024-08-01,"625630.0, 5804050.0",0.02608087,0.16989306
2024-08-01,"625650.0, 5804050.0",0.02504298,0.15583889
2024-08-01,"625670.0, 5804050.0",0.022712713,0.012339493
2024-08-01,"625690.0, 5804050.0",0.021083238,0.009979249
2024-08-01,"625710.0, 5804050.0",0.021137444,0.20340388
2024-08-01,"625730.0, 5804050.0",0.022899581,0.15753247
2024-08-01,"625750.0, 5804050.0",0.035670687,0.12059683
2024-08-01,"625770.0, 5804050.0",0.11097161,0.076948985
2024-08-01,"625790.0, 5804050.0",0.08049699,0.29425347
2024-08-01,"625810.0, 5804050.0",0.07970452,0.21539223
2024-08-01,"625830.0, 5804050.0",0.091506444,0.007969943
2024-08-01,"625850.0, 5804050.0",0.09322554,0.12253753
2024-08-01,"625870.0, 5804050.0",0.050502837,0.150723
2024-08-01,"625890.0, 5804050.0",0.033422664,0.04630683
2024-08-01,"625910.0, 5804050.0",0.0755132,0.07362904
2024-08-01,"625930.0, 5804050.0",0.07556063,0.0051396196
2024-08-01,"625950.0, 5804050.0",0.05889906,0.13100718
2024-08-01,"625970.0, 5804050.0",0.08455091,0.40403944
2024-08-01,"625990.0, 5804050.0",0.099587254,0.0049416814
2024-08-01,"626010.0, 5804050.0",0.07695356,0.051368173
2024-08-01,"626030.0, 5804050.0",0.06736836,0.061916128
2024-08-01,"625450.0, 5804030.0",0.019828111,0.17907903
2024-08-01,"625470.0, 5804030.0",0.017383978,0.3546272
2024-08-01,"625490.0, 5804030.0",0.019726837,0.02917497
2024-08-01,"625510.0, 5804030.0",0.028471563,0.14347093
2024-08-01,"625530.0, 5804030.0",0.02501283,0.058487795
2024-08-01,"625550.0, 5804030.0",0.019164797,0.056922127
2024-08-01,"625570.0, 5804030.0",0.018768009,0.141747
2024-08-01,"625590.0, 5804030.0",0.017012835,0.016808134
2024-08-01,"625610.0, 5804030.0",0.018131303,0.22474565
2024-08-01,"625630.0, 5804030.0",0.02506804,0.10092752
2024-08-01,"625650.0, 5804030.0",0.029095197,0.09018586
2024-08-01,"625670.0, 5804030.0",0.033823475,0.28133607
2024-08-01,"625690.0, 5804030.0",0.03597495,0.09193879
2024-08-01,"625710.0, 5804030.0",0.029748624,0.24548441
2024-08-01,"625730.0, 5804030.0",0.031857375,0.09791529
