Date,Coordinates,Value,Nearest_NDVI
2024-06-01,"626210.0, 5802950.0",0.062288735,0.18712386
2024-06-01,"626230.0, 5802950.0",0.068666615,0.27880147
2024-06-01,"626250.0, 5802950.0",0.062346302,0.24984248
2024-06-01,"626270.0, 5802950.0",0.06863317,0.27286687
2024-06-01,"626290.0, 5802950.0",0.09773295,0.19264136
2024-06-01,"626310.0, 5802950.0",0.07672839,0.120076865
2024-06-01,"626330.0, 5802950.0",0.0769306,0.013391894
2024-06-01,"626350.0, 5802950.0",0.06529465,0.5574375
2024-06-01,"626370.0, 5802950.0",0.06364975,0.49179
2024-06-01,"626390.0, 5802950.0",0.06880713,0.089997634
2024-06-01,"626410.0, 5802950.0",0.06282303,0.2995765
2024-06-01,"626430.0, 5802950.0",0.051378593,0.1440875
2024-06-01,"626450.0, 5802950.0",0.058180086,0.065784715
2024-06-01,"626470.0, 5802950.0",0.078384355,0.2458056
2024-06-01,"626490.0, 5802950.0",0.037475076,0.1806864
2024-06-01,"626510.0, 5802950.0",0.029007312,-0.038929366
2024-06-01,"626530.0, 5802950.0",0.078204066,0.12363449
2024-06-01,"626550.0, 5802950.0",0.14826526,0.024150632
2024-06-01,"626570.0, 5802950.0",0.15598802,0.118256025
2024-06-01,"626590.0, 5802950.0",0.09977754,0.1254637
2024-06-01,"626610.0, 5802950.0",0.09109044,0.1176478
2024-06-01,"626630.0, 5802950.0",0.07305217,0.10518813
2024-06-01,"626650.0, 5802950.0",0.05974257,0.17580783
2024-06-01,"626670.0, 5802950.0",0.056229346,0.05448438
2024-06-01,"626690.0, 5802950.0",0.08905018,0.010921207
2024-06-01,"626710.0, 5802950.0",0.102919064,0.08592458
2024-06-01,"626730.0, 5802950.0",0.12550297,0.0109197
2024-06-01,"626750.0, 5802950.0",0.14073034,0.017228667
2024-06-01,"626770.0, 5802950.0",0.10178549,0.13766007
2024-06-01,"626790.0, 5802950.0",0.13235027,0.16117376
2024-06-01,"626810.0, 5802950.0",0.16649112,0.08033937
2024-06-01,"626830.0, 5802950.0",0.14221077,0.05620713
2024-06-01,"626850.0, 5802950.0",0.1414726,0.044251535
2024-06-01,"626870.0, 5802950.0",0.16719393,0.0126412725
2024-06-01,"626890.0, 5802950.0",0.1138036,0.06858586
2024-06-01,"626910.0, 5802950.0",0.14583264,0.12650682
2024-06-01,"626930.0, 5802950.0",0.17391162,0.057026304
2024-06-01,"626950.0, 5802950.0",0.09592231,0.076553136
2024-06-01,"626970.0, 5802950.0",0.0877841,0.08769317
2024-06-01,"626990.0, 5802950.0",0.13412857,0.08286997
2024-06-01,"627010.0, 5802950.0",0.12493613,0.15583573
2024-06-01,"627030.0, 5802950.0",0.10413858,0.16816838
2024-06-01,"627050.0, 5802950.0",0.1024022,0.14558306
2024-06-01,"627070.0, 5802950.0",0.074312195,0.083359
2024-06-01,"627090.0, 5802950.0",0.08938771,0.2844481
2024-06-01,"627110.0, 5802950.0",0.10046437,0.21023344
2024-06-01,"627130.0, 5802950.0",0.11394558,0.051928297
2024-06-01,"627150.0, 5802950.0",0.09860889,0.09867321
2024-06-01,"627170.0, 5802950.0",0.120624185,0.14103113
2024-06-01,"627190.0, 5802950.0",0.08147371,0.12733872
2024-06-01,"627210.0, 5802950.0",0.08388663,0.12566274
2024-06-01,"627230.0, 5802950.0",0.10784866,0.097682945
2024-06-01,"627250.0, 5802950.0",0.09605776,0.2094054
2024-06-01,"627270.0, 5802950.0",0.11589857,0.27876505
2024-06-01,"627290.0, 5802950.0",0.09583284,0.3464814
2024-06-01,"627310.0, 5802950.0",0.08024888,0.15149501
2024-06-01,"627330.0, 5802950.0",0.09003446,0.063707896
2024-06-01,"627350.0, 5802950.0",0.086443104,0.19711336
2024-06-01,"627370.0, 5802950.0",0.15326498,0.115115345
2024-06-01,"627390.0, 5802950.0",0.29670998,0.31909567
2024-06-01,"627410.0, 5802950.0",0.14305371,0.06629683
2024-06-01,"627430.0, 5802950.0",0.23813829,0.13169907
2024-06-01,"627450.0, 5802950.0",0.22715701,0.10888584
2024-06-01,"627470.0, 5802950.0",0.15204698,0.06538653
2024-06-01,"627490.0, 5802950.0",0.09647079,0.085674696
2024-06-01,"627510.0, 5802950.0",0.07185222,0.1316551
2024-06-01,"627530.0, 5802950.0",0.11233251,0.025563309
2024-06-01,"627550.0, 5802950.0",0.18090667,0.1312752
2024-06-01,"627570.0, 5802950.0",0.17022008,0.098435484
2024-06-01,"627590.0, 5802950.0",0.21604027,0.095124185
2024-06-01,"627610.0, 5802950.0",0.2993321,0.0733505
2024-06-01,"627630.0, 5802950.0",0.31385034,0.18413764
2024-06-01,"627650.0, 5802950.0",0.0990708,0.27742535
2024-06-01,"627670.0, 5802950.0",0.121231176,0.00038480814
2024-06-01,"627690.0, 5802950.0",0.12465532,0.12712532
2024-06-01,"627710.0, 5802950.0",0.14745055,0.062344667
2024-06-01,"627730.0, 5802950.0",0.11294475,0.046411444
2024-06-01,"627750.0, 5802950.0",0.07970268,0.28719896
2024-06-01,"627770.0, 5802950.0",0.14549671,0.13010183
2024-06-01,"627790.0, 5802950.0",0.22477539,0.049841765
2024-06-01,"627810.0, 5802950.0",0.10956415,0.11332881
2024-06-01,"627830.0, 5802950.0",0.11045368,0.24673553
2024-06-01,"627850.0, 5802950.0",0.17234065,0.011459765
2024-06-01,"627870.0, 5802950.0",0.26819274,0.19023132
2024-06-01,"627890.0, 5802950.0",0.29964846,0.13300356
2024-06-01,"627910.0, 5802950.0",0.14618365,0.06583681
2024-06-01,"627930.0, 5802950.0",0.10920552,0.034686018
2024-06-01,"627950.0, 5802950.0",0.10721435,0.0099884495
2024-06-01,"627970.0, 5802950.0",0.266054,0.12521635
2024-06-01,"627990.0, 5802950.0",0.39841497,0.078903295
2024-06-01,"628010.0, 5802950.0",0.43772498,0.07029526
2024-06-01,"628030.0, 5802950.0",1.2108889,0.18839638
2024-06-01,"628050.0, 5802950.0",2.0517335,0.015658299
2024-06-01,"628070.0, 5802950.0",0.5860132,0.011603888
2024-06-01,"628090.0, 5802950.0",0.12638792,0.31327802
2024-06-01,"628110.0, 5802950.0",0.054903198,0.010729432
2024-06-01,"628130.0, 5802950.0",0.032039635,0.15482514
2024-06-01,"628150.0, 5802950.0",0.03195336,0.014377674
2024-06-01,"628170.0, 5802950.0",0.04496735,0.11859359
2024-06-01,"628190.0, 5802950.0",0.050710093,0.0760954
2024-06-01,"626210.0, 5802930.0",0.049939614,0.28153425
2024-06-01,"626230.0, 5802930.0",0.07702971,0.016975898
2024-06-01,"626250.0, 5802930.0",0.06909261,0.14561917
2024-06-01,"626270.0, 5802930.0",0.06463848,0.0006982858
2024-06-01,"626290.0, 5802930.0",0.09902072,0.15926157
2024-06-01,"626310.0, 5802930.0",0.06368254,0.11329634
2024-06-01,"626330.0, 5802930.0",0.068300195,0.01209282
2024-06-01,"626350.0, 5802930.0",0.08085329,0.073750526
2024-06-01,"626370.0, 5802930.0",0.06888151,0.013101829
2024-06-01,"626390.0, 5802930.0",0.09102953,0.06629275
2024-06-01,"626410.0, 5802930.0",0.087771185,0.036954638
2024-06-01,"626430.0, 5802930.0",0.06352916,0.216414
2024-06-01,"626450.0, 5802930.0",0.123368956,0.088278726
2024-06-01,"626470.0, 5802930.0",0.0826785,0.13196597
2024-06-01,"626490.0, 5802930.0",0.028622475,0.14050634
2024-06-01,"626510.0, 5802930.0",0.029753495,0.017906602
2024-06-01,"626530.0, 5802930.0",0.13801569,0.002967189
2024-06-01,"626550.0, 5802930.0",0.16924383,0.05741696
2024-06-01,"626570.0, 5802930.0",0.10313308,0.024233162
2024-06-01,"626590.0, 5802930.0",0.06240186,0.17440107
2024-06-01,"626610.0, 5802930.0",0.058490764,0.13038504
2024-06-01,"626630.0, 5802930.0",0.061637413,0.29401472
2024-06-01,"626650.0, 5802930.0",0.107855685,0.2821444
2024-06-01,"626670.0, 5802930.0",0.10206667,0.13461883
2024-06-01,"626690.0, 5802930.0",0.1333655,0.06515451
2024-06-01,"626710.0, 5802930.0",0.12907058,0.21707529
2024-06-01,"626730.0, 5802930.0",0.091490775,0.084613435
2024-06-01,"626750.0, 5802930.0",0.10339782,0.2655799
2024-06-01,"626770.0, 5802930.0",0.08422574,0.11117459
2024-06-01,"626790.0, 5802930.0",0.09950842,0.08177806
2024-06-01,"626810.0, 5802930.0",0.10976739,0.18114905
2024-06-01,"626830.0, 5802930.0",0.12858728,0.009459098
2024-06-01,"626850.0, 5802930.0",0.121892124,0.13119711
2024-06-01,"626870.0, 5802930.0",0.11550806,0.03450917
2024-06-01,"626890.0, 5802930.0",0.11620075,0.15984061
2024-06-01,"626910.0, 5802930.0",0.1796427,0.063852176
2024-06-01,"626930.0, 5802930.0",0.2555743,0.01712133
2024-06-01,"626950.0, 5802930.0",0.1254044,0.3280251
2024-06-01,"626970.0, 5802930.0",0.086964026,0.06395904
2024-06-01,"626990.0, 5802930.0",0.12735127,0.2037196
2024-06-01,"627010.0, 5802930.0",0.11272326,0.05473823
2024-06-01,"627030.0, 5802930.0",0.106095105,0.17102054
2024-06-01,"627050.0, 5802930.0",0.13968956,0.08896033
2024-06-01,"627070.0, 5802930.0",0.13552473,0.09798275
2024-06-01,"627090.0, 5802930.0",0.102381475,0.02080313
2024-06-01,"627110.0, 5802930.0",0.10295597,0.097696796
2024-06-01,"627130.0, 5802930.0",0.10923746,0.023900801
2024-06-01,"627150.0, 5802930.0",0.072705425,0.014243448
