Date,Coordinates,Value,Nearest_NDVI
2024-03-01,"625530.0, 5806010.0",0.055896837,0.11047395
2024-03-01,"625550.0, 5806010.0",0.04124586,0.17223592
2024-03-01,"625570.0, 5806010.0",0.060188442,0.27928358
2024-03-01,"625590.0, 5806010.0",0.07497449,0.2814835
2024-03-01,"625610.0, 5806010.0",0.08049502,0.07811269
2024-03-01,"625630.0, 5806010.0",0.16366206,0.09207393
2024-03-01,"625650.0, 5806010.0",0.2876891,0.06775415
2024-03-01,"625670.0, 5806010.0",0.24747409,0.107614025
2024-03-01,"625690.0, 5806010.0",0.15423831,0.19454953
2024-03-01,"625710.0, 5806010.0",0.06718709,0.109999225
2024-03-01,"625730.0, 5806010.0",0.12473034,0.17578693
2024-03-01,"625750.0, 5806010.0",0.24937648,0.11582962
2024-03-01,"625770.0, 5806010.0",0.056783408,0.09448977
2024-03-01,"625790.0, 5806010.0",0.028419647,0.07961916
2024-03-01,"625810.0, 5806010.0",0.04782358,0.069893815
2024-03-01,"625830.0, 5806010.0",0.048840977,0.11439909
2024-03-01,"625850.0, 5806010.0",0.03524695,0.06331217
2024-03-01,"625870.0, 5806010.0",0.038748745,0.053854454
2024-03-01,"625890.0, 5806010.0",0.04497368,0.08309746
2024-03-01,"625910.0, 5806010.0",0.07507784,0.009655831
2024-03-01,"625930.0, 5806010.0",0.051178448,0.083188914
2024-03-01,"625950.0, 5806010.0",0.055889186,0.06931578
2024-03-01,"625970.0, 5806010.0",0.10545004,0.075067274
2024-03-01,"625990.0, 5806010.0",0.1430337,0.0763624
2024-03-01,"626010.0, 5806010.0",0.097038075,0.1439699
2024-03-01,"626030.0, 5806010.0",0.054673713,0.11078646
2024-03-01,"626050.0, 5806010.0",0.07287726,0.019844519
2024-03-01,"626070.0, 5806010.0",0.079815544,0.06415834
2024-03-01,"626090.0, 5806010.0",0.039641034,0.06558665
2024-03-01,"626110.0, 5806010.0",0.023489151,0.06981808
2024-03-01,"626130.0, 5806010.0",0.04628033,0.088160984
2024-03-01,"626150.0, 5806010.0",0.06270413,0.08000969
2024-03-01,"626170.0, 5806010.0",0.31003886,0.08571476
2024-03-01,"626190.0, 5806010.0",0.5282712,0.068571456
2024-03-01,"626210.0, 5806010.0",0.14660071,0.099210225
2024-03-01,"626230.0, 5806010.0",0.027407609,0.010360357
2024-03-01,"626250.0, 5806010.0",0.031429175,0.392477
2024-03-01,"626270.0, 5806010.0",0.041261684,0.196649
2024-03-01,"626290.0, 5806010.0",0.039486572,0.13972448
2024-03-01,"626310.0, 5806010.0",0.049172793,0.14133613
2024-03-01,"626330.0, 5806010.0",0.06339158,0.04554557
2024-03-01,"626350.0, 5806010.0",0.042157896,0.051741134
2024-03-01,"626370.0, 5806010.0",0.040367533,0.032942437
2024-03-01,"626390.0, 5806010.0",0.03321225,0.029552173
2024-03-01,"626410.0, 5806010.0",0.030774241,0.15957859
2024-03-01,"626430.0, 5806010.0",0.033929363,0.19278222
2024-03-01,"626450.0, 5806010.0",0.029607465,0.21749534
2024-03-01,"626470.0, 5806010.0",0.03345994,0.008384136
2024-03-01,"626490.0, 5806010.0",0.039445303,0.19030887
2024-03-01,"626510.0, 5806010.0",0.04533047,0.4006091
2024-03-01,"626530.0, 5806010.0",0.0679361,0.11213109
2024-03-01,"626550.0, 5806010.0",0.0607317,0.20856856
2024-03-01,"626570.0, 5806010.0",0.047244817,0.023925316
2024-03-01,"626590.0, 5806010.0",0.025370745,0.5321664
2024-03-01,"626610.0, 5806010.0",0.019511832,0.060588956
2024-03-01,"626630.0, 5806010.0",0.020164685,0.50860167
2024-03-01,"626650.0, 5806010.0",0.02521099,0.49028903
2024-03-01,"626670.0, 5806010.0",0.03054092,0.18689479
2024-03-01,"626690.0, 5806010.0",0.028962433,0.009945578
2024-03-01,"626710.0, 5806010.0",0.032274537,0.52107394
2024-03-01,"626730.0, 5806010.0",0.035198264,0.18702313
2024-03-01,"626750.0, 5806010.0",0.047514096,0.30030286
2024-03-01,"626770.0, 5806010.0",0.04765622,0.446737
2024-03-01,"626790.0, 5806010.0",0.0433725,0.43597072
2024-03-01,"626810.0, 5806010.0",0.04472447,0.42385197
2024-03-01,"626830.0, 5806010.0",0.048215743,0.1119312
2024-03-01,"626850.0, 5806010.0",0.049862564,0.017194232
2024-03-01,"626870.0, 5806010.0",0.057154726,0.4743926
2024-03-01,"626890.0, 5806010.0",0.06006914,0.1976548
2024-03-01,"626910.0, 5806010.0",0.059687532,0.30078784
2024-03-01,"626930.0, 5806010.0",0.037481867,0.3770216
2024-03-01,"626950.0, 5806010.0",0.029645965,0.24374981
2024-03-01,"626970.0, 5806010.0",0.02854137,0.28916737
2024-03-01,"626990.0, 5806010.0",0.025239397,0.46196723
2024-03-01,"627010.0, 5806010.0",0.03603376,0.4526372
2024-03-01,"627030.0, 5806010.0",0.039855767,0.012535493
2024-03-01,"627050.0, 5806010.0",0.03515107,0.48352343
2024-03-01,"627070.0, 5806010.0",0.05126311,0.026687723
2024-03-01,"627090.0, 5806010.0",0.0576901,0.26401764
2024-03-01,"627110.0, 5806010.0",0.046955574,0.28328863
2024-03-01,"627130.0, 5806010.0",0.038332928,0.30378214
2024-03-01,"627150.0, 5806010.0",0.033367604,0.08948722
2024-03-01,"627170.0, 5806010.0",0.03279439,0.118854396
2024-03-01,"627190.0, 5806010.0",0.03840002,0.1267985
2024-03-01,"627210.0, 5806010.0",0.03701039,0.20583884
2024-03-01,"627230.0, 5806010.0",0.04339325,0.24787721
2024-03-01,"627250.0, 5806010.0",0.0536537,0.16266082
2024-03-01,"627270.0, 5806010.0",0.051951256,0.25012425
2024-03-01,"627290.0, 5806010.0",0.04838767,0.31007183
2024-03-01,"627310.0, 5806010.0",0.049145836,0.21878374
2024-03-01,"627330.0, 5806010.0",0.060817696,0.05380892
2024-03-01,"627350.0, 5806010.0",0.061068464,0.17035197
2024-03-01,"627370.0, 5806010.0",0.07573483,0.047966044
2024-03-01,"627390.0, 5806010.0",0.075067386,0.16167608
2024-03-01,"627410.0, 5806010.0",0.087360874,0.10011142
2024-03-01,"627430.0, 5806010.0",0.088948615,0.16503401
2024-03-01,"627450.0, 5806010.0",0.092487454,0.10797563
2024-03-01,"627470.0, 5806010.0",0.08467757,0.063415535
2024-03-01,"627490.0, 5806010.0",0.06431466,0.095519714
2024-03-01,"627510.0, 5806010.0",0.06360337,0.056310385
2024-03-01,"627530.0, 5806010.0",0.07594568,0.07078132
2024-03-01,"627550.0, 5806010.0",0.07594629,0.022085095
2024-03-01,"627570.0, 5806010.0",0.06550834,0.10485294
2024-03-01,"627590.0, 5806010.0",0.058338165,0.2618718
2024-03-01,"627610.0, 5806010.0",0.09188563,0.024066249
2024-03-01,"627630.0, 5806010.0",0.09707481,0.049020313
2024-03-01,"627650.0, 5806010.0",0.107046016,0.118043825
2024-03-01,"627670.0, 5806010.0",0.10709633,0.0193877
2024-03-01,"627690.0, 5806010.0",0.18274592,0.112068884
2024-03-01,"627710.0, 5806010.0",0.1424083,0.102033734
2024-03-01,"627730.0, 5806010.0",0.087993644,0.030023435
