Date,Coordinates,Value
2024-06-01,"629041.035, 5799616.053",284.568
2024-06-01,"629041.035, 52.32271536444626",284.568
2024-07-01,"629041.035, 5799616.053",282.954
2024-07-01,"629041.035, 52.32271536444626",282.954
2024-05-01,"629041.035, 5799616.053",280.69305
2024-05-01,"629041.035, 52.32271536444626",279.33344
2024-04-01,"629041.035, 5799616.053",270.11783
2024-04-01,"629041.035, 52.32271536444626",269.40784
2024-01-01,"629041.035, 5799616.053",265.6965
2024-01-01,"629041.035, 52.32271536444626",265.11255
2024-11-01,"629041.035, 5799616.053",277.5004
2024-11-01,"629041.035, 52.32271536444626",277.314
2024-02-01,"629041.035, 5799616.053",262.4544
2024-02-01,"629041.035, 52.32271536444626",261.94223
2024-12-01,"629041.035, 5799616.053",268.349
2024-12-01,"629041.035, 52.32271536444626",267.64047
2024-03-01,"629041.035, 5799616.053",266.50894
2024-03-01,"629041.035, 52.32271536444626",266.24594
