Date,Coordinates,Value
2024-04-01,"625769.523, 5803541.146",269.59177
2024-04-01,"625769.523, 5802548.154",269.1373
2024-05-01,"625769.523, 5803541.146",281.04678
2024-05-01,"625769.523, 5802548.154",281.14816
2024-07-01,"625769.523, 5803541.146",281.9
2024-07-01,"625769.523, 5802548.154",279.942
2024-06-01,"625769.523, 5803541.146",285.278
2024-06-01,"625769.523, 5802548.154",285.278
2024-03-01,"625769.523, 5803541.146",267.02063
2024-03-01,"625769.523, 5802548.154",266.72845
2024-02-01,"625769.523, 5803541.146",262.16965
2024-02-01,"625769.523, 5802548.154",262.04352
2024-12-01,"625769.523, 5803541.146",268.8854
2024-12-01,"625769.523, 5802548.154",268.89917
2024-01-01,"625769.523, 5803541.146",265.79654
2024-01-01,"625769.523, 5802548.154",265.52225
2024-11-01,"625769.523, 5803541.146",275.655
2024-11-01,"625769.523, 5802548.154",275.5445
