Date,Coordinates,Value
2024-07-01,"625830.487, 5806065.723",294.252
2024-07-01,"626438.021, 5806065.723",294.252
2024-07-01,"627045.555, 5806065.723",293.43
2024-07-01,"627653.088, 5806065.723",293.43
2024-07-01,"628260.620, 5806065.723",290.396
2024-06-01,"625830.487, 5806065.723",283.64
2024-06-01,"626438.021, 5806065.723",283.64
2024-06-01,"627045.555, 5806065.723",283.64
2024-06-01,"627653.088, 5806065.723",284.046
2024-06-01,"628260.620, 5806065.723",284.046
2024-04-01,"625830.487, 5806065.723",271.22003
2024-04-01,"626438.021, 5806065.723",270.1328
2024-04-01,"627045.555, 5806065.723",269.75192
2024-04-01,"627653.088, 5806065.723",270.05597
2024-04-01,"628260.620, 5806065.723",269.9857
2024-05-01,"625830.487, 5806065.723",282.04907
2024-05-01,"626438.021, 5806065.723",280.8755
2024-05-01,"627045.555, 5806065.723",280.61642
2024-05-01,"627653.088, 5806065.723",280.61044
2024-05-01,"628260.620, 5806065.723",280.70038
2024-11-01,"625830.487, 5806065.723",275.725
2024-11-01,"626438.021, 5806065.723",275.725
2024-11-01,"627045.555, 5806065.723",275.2145
2024-11-01,"627653.088, 5806065.723",275.40698
2024-11-01,"628260.620, 5806065.723",276.093
2024-01-01,"625830.487, 5806065.723",265.83282
2024-01-01,"626438.021, 5806065.723",265.92786
2024-01-01,"627045.555, 5806065.723",265.3502
2024-01-01,"627653.088, 5806065.723",265.58508
2024-01-01,"628260.620, 5806065.723",265.75156
2024-03-01,"625830.487, 5806065.723",267.7581
2024-03-01,"626438.021, 5806065.723",267.57504
2024-03-01,"627045.555, 5806065.723",267.6761
2024-03-01,"627653.088, 5806065.723",267.74557
2024-03-01,"628260.620, 5806065.723",268.01462
2024-12-01,"625830.487, 5806065.723",269.63358
2024-12-01,"626438.021, 5806065.723",269.6347
2024-12-01,"627045.555, 5806065.723",269.53284
2024-12-01,"627653.088, 5806065.723",269.5353
2024-12-01,"628260.620, 5806065.723",269.9516
2024-02-01,"625830.487, 5806065.723",263.11722
2024-02-01,"626438.021, 5806065.723",262.8122
2024-02-01,"627045.555, 5806065.723",262.8372
2024-02-01,"627653.088, 5806065.723",262.65457
2024-02-01,"628260.620, 5806065.723",262.53928
