Date,Coordinates,Value
2024-03-01,"4.880727014388464, 52.36964971035086",0.036211748
2024-02-01,"4.880727014388464, 52.36964971035086",0.034493383
2024-12-01,"4.880727014388464, 52.36964971035086",0.034235694
2024-09-01,"4.880727014388464, 52.36964971035086",0.036762055
2024-10-01,"4.880727014388464, 52.36964971035086",0.032410003
2024-01-01,"4.880727014388464, 52.36964971035086",0.03540267
2024-11-01,"4.880727014388464, 52.36964971035086",0.032504454
2024-08-01,"4.880727014388464, 52.36964971035086",0.039505225
2024-04-01,"4.880727014388464, 52.36964971035086",0.03448293
2024-05-01,"4.880727014388464, 52.36964971035086",0.032453157
2024-07-01,"4.880727014388464, 52.36964971035086",0.03404195
2024-06-01,"4.880727014388464, 52.36964971035086",0.030292569
