Date,Coordinates,Value
2024-03-01,"4.880727014388464, 52.36964971035086",0.00010112419
2024-12-01,"4.880727014388464, 52.36964971035086",5.816836e-05
2024-02-01,"4.880727014388464, 52.36964971035086",7.02498e-05
2024-10-01,"4.880727014388464, 52.36964971035086",9.216352e-05
2024-09-01,"4.880727014388464, 52.36964971035086",6.650016e-05
2024-08-01,"4.880727014388464, 52.36964971035086",6.560791e-05
2024-11-01,"4.880727014388464, 52.36964971035086",8.902539e-05
2024-01-01,"4.880727014388464, 52.36964971035086",6.571055e-05
2024-04-01,"4.880727014388464, 52.36964971035086",4.790305e-05
2024-05-01,"4.880727014388464, 52.36964971035086",6.22827e-05
2024-07-01,"4.880727014388464, 52.36964971035086",5.424353e-05
2024-06-01,"4.880727014388464, 52.36964971035086",5.9264545e-05
